"","ciudad","semana_ano","dia_semana_inicio","vegetacion_noreste","vegetacion_noroeste","vegetacion_sureste","vegetacion_suroeste","precipitacion","temperatura_aire","humedad_relativa","humedad_especifica","temperatura_promedio","temperatura_maxima","temperatura_minima","casos_totales"
"33","iq",7,"2001-02-12",0.1554143,0.1350167,0.1485286,0.1571,66.84,295.37,94.8842857143,15.93,26.3,33,21,0
"34","iq",8,"2001-02-19",0.1353714,0.0823,0.1297571,0.1840429,16.17,296.07,92.8428571429,16.2514285714,26.9333333333,33.2,21,0
"35","iq",9,"2001-02-26",0.30764,0.2282167,0.2245,0.2912833,47.14,297.038571429,93.3142857143,17.3085714286,26.56,33.2,20.5,0
"36","iq",10,"2001-03-05",0.1820429,0.289,0.2068714,0.2063286,118.07,297.618571429,94.0928571429,18.0557142857,27.2,33.3,20,0
"37","iq",11,"2001-03-12",0.2053833,0.1769,0.2063571,0.2041286,74.34,296.79,94.0942857143,17.0657142857,27.05,34.2,20,0
"38","iq",12,"2001-03-19",0.1883429,0.1950333,0.1635429,0.2841429,90.35,298.701428571,82.8014285714,16.7571428571,27.4333333333,34.1,20,0
"39","iq",13,"2001-03-26",0.16238,0.1508167,0.09465714,0.1322571,94.06,296.852857143,95.9242857143,17.6685714286,27.05,34.2,20,0
"40","iq",14,"2001-04-02",0.2678143,0.3126429,0.2615,0.2584,86.46,296.305714286,96.7371428571,17.21,27.16,35,20.5,0
"41","iq",15,"2001-04-09",0.3827571,0.3709714,0.3438857,0.3762714,80.82,297.175714286,94.6028571429,17.6957142857,26.46,34,19.5,0
"42","iq",16,"2001-04-16",0.3125429,0.2822143,0.2621286,0.4074857,77.73,297.062857143,94.6157142857,17.52,27.34,33.5,20.4,1
"43","iq",17,"2001-04-23",0.2456143,0.2148429,0.2733714,0.2288,78.01,297.961428571,88.1485714286,16.9685714286,27.6333333333,34.3,21,0
"44","iq",18,"2001-04-30",0.2540143,0.179,0.3128286,0.2625571,94.77,297.285714286,92.1928571429,17.3057142857,27.625,35.2,20.5,0
"45","iq",19,"2001-05-07",0.2664571,0.1886,0.1962,0.2273286,45.56,297.135714286,95.82,17.8914285714,26.6,32.7,21.4,0
"46","iq",20,"2001-05-14",0.3153429,0.31965,0.2627,0.3034857,74.08,297.297142857,98.3414285714,18.64,NA,32.5,NA,0
"47","iq",21,"2001-05-21",0.2985857,0.3796667,0.1842429,0.2685286,70.81,296.922857143,94.71,17.3685714286,27.4333333333,34.2,20.5,1
"48","iq",22,"2001-05-28",0.2999429,0.3029429,0.3187143,0.3874429,90.07,296.845714286,91.4657142857,16.6942857143,27.25,34.8,20.5,1
"49","iq",23,"2001-06-04",0.3635667,0.1819143,0.2539714,0.2467286,126.46,296.691428571,89.4871428571,15.9685714286,26.8666666667,34,19.8,0
"50","iq",24,"2001-06-11",0.3170833,0.2989667,0.2198714,0.2173429,47.13,295.482857143,94.0171428571,15.7828571429,26.88,33.4,20,0
"51","iq",25,"2001-06-18",0.1041,0.1082429,0.05965714,0.1137571,53.93,296,88.1714285714,15.1342857143,26.4,33.2,20.5,1
"52","iq",26,"2001-06-25",0.1923,0.2752857,0.3164571,0.3254143,1.22,294.845714286,79.3228571429,12.4642857143,NA,32.3,17.1,0
"53","iq",27,"2001-07-02",0.2290833,0.1932667,0.2704571,0.2421857,52.1,295.795714286,84.8571428571,14.2971428571,26.5,33.2,20,0
"54","iq",28,"2001-07-09",0.3597167,0.3110571,0.2649857,0.4388429,39.09,295.808571429,88.3228571429,14.9285714286,27.35,33.5,19.5,0
"55","iq",29,"2001-07-16",0.3195,0.2050857,0.1947429,0.3616333,52.05,297.555714286,84.2457142857,15.6057142857,26.7666666667,32.8,21,0
"56","iq",30,"2001-07-23",0.2911571,0.2526333,0.2182,0.3259857,54.52,296.815714286,90.8142857143,16.5057142857,27.3666666667,34,21.2,0
"57","iq",31,"2001-07-30",0.2371167,0.1956167,0.1883143,0.1339,27.97,297.291428571,82.2257142857,14.9857142857,26.52,34,18.4,0
"58","iq",32,"2001-08-06",0.2007571,0.2377286,0.2236429,0.2043571,0,298.537142857,66.6642857143,13.1585714286,27.1,33.5,17.8,0
"59","iq",33,"2001-08-13",0.2821714,0.2735571,0.2658571,0.3664571,5.14,298.395714286,69.4757142857,13.7157142857,27.125,33.4,20,0
"60","iq",34,"2001-08-20",0.2407571,0.1931143,0.2063429,0.2469143,9.97,298.44,78.3885714286,15.5114285714,27.6,34.2,20,0
"61","iq",35,"2001-08-27",0.2280714,0.1999857,0.2331429,0.2646429,47.58,298.751428571,76.9557142857,15.2514285714,27.2,35.2,20,0
"62","iq",36,"2001-09-03",0.30695,0.2410286,0.1908714,0.3389429,44.45,298.691428571,81.9871428571,16.4371428571,27.375,34.3,20.8,0
"63","iq",37,"2001-09-10",0.3084571,0.2503143,0.2983,0.4290714,36.2,298.665714286,78.9571428571,15.6585714286,27.375,35.2,20.1,0
"64","iq",38,"2001-09-17",0.3533143,0.3439714,0.3586714,0.3530429,66.4,297.962857143,84.0328571429,16.1042857143,27.525,35,20.2,0
"65","iq",39,"2001-09-24",0.3346714,0.3886143,0.2854,0.3197714,26.48,298.707142857,79.3657142857,15.8942857143,27.25,33.4,20.3,0
"66","iq",40,"2001-10-01",0.3343857,0.2712857,0.2416857,0.4444,63.42,299.547142857,78.33,16.34,28.3,35.5,20.4,0
"67","iq",41,"2001-10-08",0.4202857,0.3819571,0.4438,0.5460167,58.75,299.158571429,74.4185714286,15.3271428571,28.525,36.8,21.8,0
"68","iq",42,"2001-10-15",0.3102,0.2971286,0.3454857,0.3820571,77.89,300.308571429,72.1628571429,15.8728571429,27.6333333333,36.7,20,0
"69","iq",43,"2001-10-22",0.1244833,0.2392667,0.1845,0.2055714,77.15,298.584285714,90.2657142857,18.2671428571,28.0666666667,35,21,0
"70","iq",44,"2001-10-29",0.2108857,0.2075667,0.2066143,0.232,83.53,298.341428571,85.5728571429,16.9585714286,27.64,35.8,21.5,0
"71","iq",45,"2001-11-05",0.3581429,0.2793429,0.3059714,0.3714,34.54,298.514285714,89.0042857143,17.8214285714,27.525,34.4,21.3,0
"72","iq",46,"2001-11-12",0.2773286,0.2303,0.2773,0.2969714,61.82,298.847142857,87.4814285714,17.8,28.44,34.5,21,0
"73","iq",47,"2001-11-19",0.3297,0.3304167,0.3406429,0.4415714,65.89,299.12,88.8371428571,18.4514285714,27.575,33.7,20.8,1
"74","iq",48,"2001-11-26",0.3015,0.3613,0.3055714,0.3699167,47.46,298.555714286,87.3771428571,17.4271428571,28.2333333333,35.3,21.8,1
"75","iq",49,"2001-12-03",0.3250571,0.2264714,0.2992571,0.3504714,46.86,298.754285714,87.24,17.5957142857,28.425,35.5,21.2,1
"76","iq",50,"2001-12-10",0.3260333,0.2355333,0.3155714,0.3066429,138.22,298.245714286,96.1185714286,19.3057142857,27.84,35,21,2
"77","iq",51,"2001-12-17",0.2229429,0.2240714,0.2128143,0.1841286,43.95,298.564285714,93.9471428571,18.9657142857,27.075,32.9,21,4
"78","iq",52,"2001-12-24",0.2981889,0.3380778,0.2887889,0.3417,100.72,298.238571429,96.3557142857,19.3028571429,27.35,33.3,22,1
"79","iq",1,"2002-01-01",0.4057286,0.3484,0.3686429,0.3800143,70.16,297.132857143,94.5885714286,17.6185714286,27.95,33.2,23,4
"80","iq",2,"2002-01-08",0.3275833,0.3759167,0.4102667,0.3833333,64.79,300.012857143,76.6028571429,16.4828571429,28.9666666667,35.4,21,11
"81","iq",3,"2002-01-15",0.2410857,0.14565,0.2780286,0.1976429,22.77,299.877142857,75.2042857143,16.1571428571,28.8,36,22,16
"82","iq",4,"2002-01-22",0.1041286,0.1483286,0.1121857,0.1419143,121.07,298.915714286,81.5271428571,16.6771428571,27.94,35.8,21,23
"83","iq",5,"2002-01-29",NA,NA,NA,NA,59.4,296.858571429,96.2671428571,17.69,26.3,32.5,20.8,12
"84","iq",6,"2002-02-05",0.1849167,0.1733286,0.1687429,0.1844286,4.68,295.912857143,96.6414285714,16.7228571429,26.625,34,20.8,14
"85","iq",7,"2002-02-12",0.2919714,0.2241429,0.3051,0.3732714,104.37,297.847142857,93.4385714286,18.1471428571,27.85,33.6,20.8,18
"86","iq",8,"2002-02-19",0.1288,0.1224333,0.09594286,0.1251714,37.46,297.695714286,92.05,17.6871428571,27.02,33.5,21,8
"87","iq",9,"2002-02-26",0.1162,0.1787429,0.08991429,0.2104143,80.14,297.062857143,97.1571428571,18.1257142857,26.7,32.2,20.5,7
"88","iq",10,"2002-03-05",0.3183667,0.2556,0.266,0.2973833,92.84,298.54,91.2214285714,18.3614285714,27.85,35.7,21,10
"89","iq",11,"2002-03-12",0.2483857,0.1795,0.2698143,0.2992333,41.96,298.358571429,89.7785714286,17.7957142857,26.95,34.5,21.6,7
"90","iq",12,"2002-03-19",0.2265857,0.2483333,0.2302,0.2435143,61.18,297.951428571,94.1657142857,18.4428571429,26.95,33.3,20.6,10
"91","iq",13,"2002-03-26",0.2127857,0.27455,0.1987,0.2284571,110.42,296.407142857,98.4571428571,17.68,26.1,32.3,20.7,5
"92","iq",14,"2002-04-02",0.19708,0.2962286,0.1805,0.2763286,94.01,297.174285714,97.7757142857,18.3957142857,27.3,32.5,20.2,11
"93","iq",15,"2002-04-09",0.2698286,0.1968143,0.2025857,0.2662857,75.98,296.862857143,97.2442857143,17.93,26.3,31.4,20.8,8
"94","iq",16,"2002-04-16",0.26935,0.2121571,0.1889286,0.1949429,109.49,297.764285714,92.6157142857,17.9357142857,27.2,34.6,20.3,18
"95","iq",17,"2002-04-23",0.2678429,0.2614143,0.2485,0.2669286,45.59,297.584285714,95.2514285714,18.2228571429,27.2666666667,33.3,21.7,13
"96","iq",18,"2002-04-30",0.1703571,0.1418286,0.1977286,0.2570714,60.05,297.408571429,93.8457142857,17.8071428571,NA,33.5,21.2,9
"97","iq",19,"2002-05-07",0.2272571,0.1782429,0.1773857,0.2101143,101.3,297.355714286,95.22,18.0242857143,27.5,34,21.3,22
"98","iq",20,"2002-05-14",0.1338,0.1096333,0.2196143,0.1417,46.79,296.784285714,97.2428571429,17.7442857143,26.8666666667,32.3,20.8,10
"99","iq",21,"2002-05-21",0.1921143,0.1776429,0.2308571,0.2222,51.25,297.05,94.8042857143,17.5842857143,27.7,33.8,20.8,5
"100","iq",22,"2002-05-28",0.1764571,0.1749143,0.1881571,0.2386286,41.54,297.557142857,93.7885714286,17.8228571429,26.325,32.3,20.8,13
"101","iq",23,"2002-06-04",0.3204714,0.2780857,0.2377286,0.3431857,72.76,296.267142857,94.3457142857,16.7742857143,27.3,34.3,20.7,2
"102","iq",24,"2002-06-11",0.3862667,0.2591333,0.3284143,0.3916286,69.62,297.257142857,94.1442857143,17.6385714286,27.8,34,20.7,11
"103","iq",25,"2002-06-18",0.2212714,0.1735143,0.2119714,0.2252143,39.16,296.807142857,85.7371428571,15.4142857143,26.2333333333,33,18.8,11
"104","iq",26,"2002-06-25",0.1791714,0.2791,0.1326143,0.2132857,3.18,295.808571429,82.1671428571,13.87,26.15,32.6,18.6,3
"105","iq",27,"2002-07-02",0.1015429,0.1266,0.1193571,0.07624286,3.27,294.635714286,85.5657142857,13.4542857143,26.275,32.6,20.7,7
"106","iq",28,"2002-07-09",0.21602,0.2350667,0.1511857,0.2129714,5.71,295.882857143,85.6728571429,14.4642857143,26.1333333333,32.3,20.3,7
"107","iq",29,"2002-07-16",0.1080429,0.07298571,0.1112286,0.1179714,63,296.442857143,84.6685714286,14.8185714286,25.4,30.1,20.1,4
"108","iq",30,"2002-07-23",0.2225,0.2631,0.2489857,0.3464714,65.55,296.875714286,83.4971428571,14.93,27.8,33.6,19.5,5
"109","iq",31,"2002-07-30",0.3870143,0.2601714,0.3492714,0.2830571,89.93,297.161428571,87.0342857143,16.0757142857,26.7,33.8,19.3,6
"110","iq",32,"2002-08-06",0.3041167,0.2788429,0.3074571,0.3378429,14.34,296.795714286,80.47,14.2457142857,27.25,34,20.2,7
"111","iq",33,"2002-08-13",0.3771571,0.3059,0.2884,0.3608429,9.81,298.304285714,69.06,13.4414285714,27.8333333333,35.1,20.6,7
"112","iq",34,"2002-08-20",0.345425,0.31354,0.29505,0.3092667,31.71,296.184285714,82.1414285714,14.0457142857,NA,33.1,20.8,4
"113","iq",35,"2002-08-27",0.3045429,0.2694429,0.2508571,0.3224714,38.8,298.412857143,77.7657142857,15.4128571429,27.4,35.1,20.9,9
"114","iq",36,"2002-09-03",0.2290143,0.1319714,0.2494571,0.1908857,81.85,299.395714286,77.0828571429,16.0342857143,27.4,33.3,21.7,17
"115","iq",37,"2002-09-10",0.3075429,0.2941714,0.3234,0.1907714,25.36,299.015714286,73.1414285714,14.7457142857,28.2333333333,35.9,19.9,8
"116","iq",38,"2002-09-17",0.3274143,0.3472571,0.3386714,0.3838714,11.49,300.32,64.6885714286,13.9742857143,28.9,36.6,21.5,22
"117","iq",39,"2002-09-24",0.2379833,0.3084286,0.2681143,0.3200429,38.56,299.238571429,79.5628571429,16.18,27.9,36,20.4,18
"118","iq",40,"2002-10-01",0.2721143,0.1793667,0.3142429,0.2741714,70.98,299.654285714,74.25,15.6342857143,29.2,37.7,21.7,21
"119","iq",41,"2002-10-08",0.37815,0.3857833,0.2314286,0.2459333,70.22,298.717142857,85.1371428571,17.2114285714,28.075,34.6,21.8,16
"120","iq",42,"2002-10-15",0.1992714,0.1592429,0.2581286,0.2277143,21.96,298.297142857,86.9985714286,17.1857142857,28,34.2,22,31
"121","iq",43,"2002-10-22",0.2278714,0.2144571,0.2997714,0.2229429,48.94,297.331428571,87.7171428571,16.49,27.95,36,21.8,25
"122","iq",44,"2002-10-29",0.3290857,0.2862143,0.2940571,0.3159286,89.77,298.518571429,91.9442857143,18.6028571429,NA,34.1,22.5,28
"123","iq",45,"2002-11-05",0.3071429,0.27695,0.2879286,0.3642857,95.47,297.537142857,95.2857142857,18.2671428571,28.3,33.8,22.6,26
"124","iq",46,"2002-11-12",0.2368333,0.2021571,0.2095143,0.1620286,91.36,297.165714286,96.0471428571,17.9071428571,27.6,33.6,21.4,18
"125","iq",47,"2002-11-19",0.2506143,0.2791333,0.2156333,0.2982667,61.69,297.375714286,96.84,18.4157142857,27.35,33.5,21.7,27
"126","iq",48,"2002-11-26",0.3109286,0.2852286,0.2907286,0.2563286,60.15,298.35,93.3957142857,18.7842857143,28.1,34,22,11
"127","iq",49,"2002-12-03",0.3008,0.2528,0.3449571,0.3483286,49.69,298.324285714,90.6628571429,18.1057142857,28.5,33.7,22.9,38
"128","iq",50,"2002-12-10",0.2680286,0.1424286,0.2886714,0.1850714,35.02,297.884285714,92.6142857143,18.0042857143,27.65,34,22.9,29
"129","iq",51,"2002-12-17",0.2542286,0.1839143,0.2707143,0.2090286,25.73,297.818571429,93.8457142857,18.2614285714,27.98,34,23.3,21
"130","iq",52,"2002-12-24",0.1194,0.1364,0.1718286,0.1895857,151.73,297.872857143,93.4085714286,18.2357142857,27.975,33.8,21.9,11
"131","iq",1,"2003-01-01",0.3234143,0.3004143,0.3291857,0.3184286,46.91,299.375714286,84.06,17.4528571429,28.45,34.4,22.4,10
"132","iq",2,"2003-01-08",0.4884,0.4024429,0.4149286,0.4697,11.77,297.684285714,91.56,17.4971428571,28.9333333333,35,22.1,5
"133","iq",3,"2003-01-15",0.303,0.1694667,0.2915429,0.3012857,60.46,296.92,94.3742857143,17.43,28,33.3,22.5,6
"134","iq",4,"2003-01-22",0.2249571,0.2602714,0.2069286,0.2895,84.05,298.125714286,84.46,16.5142857143,28.4,34.2,23,2
"135","iq",5,"2003-01-29",0.1660286,0.1406286,0.1913857,0.1834429,35.05,299.487142857,74.8842857143,15.5928571429,28.6,35.4,22.5,1
"136","iq",6,"2003-02-05",0.19145,0.08642857,0.1368,0.1567143,56.36,297.218571429,94.5528571429,17.8528571429,26.6,33.8,22.4,2
"137","iq",7,"2003-02-12",0.3137143,0.2284143,0.2521143,0.2864714,70.63,296.585714286,94.3542857143,17.0157142857,26.75,33.2,22.4,2
"138","iq",8,"2003-02-19",0.1262571,0.1355143,0.1036571,0.1337143,25.03,298.567142857,89.9742857143,18.02,NA,32.4,23.3,3
"139","iq",9,"2003-02-26",0.2976,0.2366333,0.22915,0.2072833,132.2,299.35,86.0128571429,18.0442857143,29.4,35,22.9,5
"140","iq",10,"2003-03-05",0.1695286,0.1389571,0.2340571,0.1851429,63.71,297.508571429,92.4685714286,17.5,27.95,32.9,22.9,1
"141","iq",11,"2003-03-12",0.2,0.1902857,0.1589429,0.1636286,47.97,296.68,96.1714285714,17.5157142857,26.7,32,22.1,4
"142","iq",12,"2003-03-19",0.2142143,0.2251571,0.2191714,0.2485,109.04,297.892857143,93.6285714286,18.2528571429,27.6,33.5,22.7,2
"143","iq",13,"2003-03-26",0.1475286,0.2694571,0.1268571,0.2059143,93.61,298.644285714,91.5942857143,18.4842857143,30.8,42.2,21.8,4
"144","iq",14,"2003-04-02",0.2482,0.2627714,0.2065,0.2886857,89.38,298.077142857,93.0142857143,18.2785714286,28.26,34.2,22.6,0
"145","iq",15,"2003-04-09",0.2052429,0.1842,0.1931286,0.2087857,78.59,298.082857143,96.27,19.0785714286,28.175,34.5,22.9,0
"146","iq",16,"2003-04-16",0.2668286,0.2182286,0.1998714,0.2621429,51.14,296.747142857,95.9928571429,17.5342857143,27.72,34.2,22.4,0
"147","iq",17,"2003-04-23",0.3234429,0.2531714,0.2852286,0.2931,77.34,297.992857143,92.5471428571,18.1557142857,28.2,33.9,21.8,0
"148","iq",18,"2003-04-30",0.4350571,0.3769143,0.2636143,0.3348429,65.43,296.691428571,97.2771428571,17.6885714286,27.2,32.9,22.7,1
"149","iq",19,"2003-05-07",0.1994286,0.1501,0.1834667,0.1477,138.05,296.454285714,96.14,17.2228571429,28.35,33.6,23.4,1
"150","iq",20,"2003-05-14",0.2454286,0.1847,0.2614571,0.2688857,84.16,294.922857143,98.1328571429,16.0857142857,27,32.5,22,1
"151","iq",21,"2003-05-21",0.1892571,0.16695,0.1843,0.1707429,23.7,295.878571429,95.8542857143,16.5157142857,27.4666666667,32.5,22.3,1
"152","iq",22,"2003-05-28",0.2411429,0.1987,0.2537286,0.2544571,166.52,297.648571429,92.4614285714,17.6185714286,27.7,35,22.4,1
"153","iq",23,"2003-06-04",0.2369571,0.1213143,0.1923143,0.2074,70.25,296.591428571,97.6171428571,17.6514285714,27.2,33.4,22.4,2
"154","iq",24,"2003-06-11",0.3135857,0.3539833,0.2658571,0.2809143,98.72,296.837142857,96.2228571429,17.6685714286,27.7,33.2,21.6,3
"155","iq",25,"2003-06-18",0.3237,0.2755,0.3547571,0.2723143,47.15,296.008571429,90.0485714286,15.4771428571,27.525,33.5,21.8,4
"156","iq",26,"2003-06-25",0.1882571,0.2322667,0.1737714,0.1928,88.88,295.387142857,95.5757142857,15.9857142857,26.95,32.7,21.9,6
"157","iq",27,"2003-07-02",0.2618143,0.1715857,0.3099429,0.2584286,61.09,295.128571429,94.1271428571,15.5114285714,25.8666666667,33.8,21.7,2
"158","iq",28,"2003-07-09",0.1802714,0.1629714,0.1541286,0.1611,53.58,296.942857143,86.6557142857,15.6185714286,27.075,33.2,20.7,2
"159","iq",29,"2003-07-16",0.1935714,0.16885,0.1590857,0.2314714,65.2,296.79,85.6114285714,15.2971428571,27.6666666667,33.4,17.4,5
"160","iq",30,"2003-07-23",0.2858143,0.1630714,0.2880286,0.2774571,2.64,296.485714286,77.8042857143,13.5585714286,26.4666666667,32.1,18,1
"161","iq",31,"2003-07-30",0.2077857,0.1562143,0.1743286,0.2188143,24.64,296.822857143,82.27,14.6857142857,27.225,32.4,21.3,1
"162","iq",32,"2003-08-06",0.2443714,0.1746429,0.2174143,0.2323,89.28,297.658571429,77.8614285714,14.5842857143,27.85,34.2,21.3,0
"163","iq",33,"2003-08-13",0.2471143,0.1711143,0.2337429,0.2638,52.47,297.338571429,83.9271428571,15.5885714286,27.4,34.4,21.7,0
"164","iq",34,"2003-08-20",0.4252429,0.3624833,0.3566143,0.3855286,45.38,297.365714286,81.9428571429,15.01,27.75,34,20,0
"165","iq",35,"2003-08-27",0.2495857,0.2122,0.2508143,0.2652143,29.51,297.875714286,85.7257142857,16.4457142857,28,34.4,21.4,0
"166","iq",36,"2003-09-03",0.3417,0.2863143,0.2101857,0.2659857,8.84,297.381428571,70.9285714286,12.9471428571,26.65,33.9,18.5,2
"167","iq",37,"2003-09-10",0.2232286,0.2028714,0.1952571,0.2701857,36.42,298.831428571,76.5328571429,15.4471428571,27.8333333333,34.3,21,0
"168","iq",38,"2003-09-17",0.3644857,0.2609857,0.3164571,0.3851571,55.73,296.948571429,85.03,15.3114285714,27.8,35.3,16.8,3
"169","iq",39,"2003-09-24",0.4011857,0.3545167,0.3276714,0.3920429,100.55,298.144285714,88.1171428571,17.2628571429,28.0333333333,34.7,21.8,0
"170","iq",40,"2003-10-01",0.2535,0.2371143,0.2290286,0.2321714,74.6,299.357142857,83.6828571429,17.4514285714,28.575,35.5,21.8,0
"171","iq",41,"2003-10-08",0.1760286,0.1963833,0.2257571,0.2349286,38.3,297.915714286,92.1657142857,17.9142857143,27.2,35.7,22.3,0
"172","iq",42,"2003-10-15",0.2758286,0.2288429,0.2752,0.2871143,44.16,298.162857143,90.3428571429,17.7971428571,28.3,34.4,22.9,2
"173","iq",43,"2003-10-22",0.4750143,0.3795,0.4249429,0.4324429,39.52,298.957142857,87.37,17.8957142857,27.975,34.5,20.7,2
"174","iq",44,"2003-10-29",0.1345143,0.1314714,0.1153571,0.1212714,32.47,300.041428571,77.7842857143,16.8728571429,28.7333333333,35.5,22.8,3
"175","iq",45,"2003-11-05",0.3946571,0.3269571,0.3912143,0.4190429,105.14,298.135714286,88.48,17.39,27.6,34,21.9,3
"176","iq",46,"2003-11-12",0.3176857,0.3246,0.2498,0.3244714,31.08,298.367142857,86.7557142857,17.2928571429,28.5,35.5,20.8,3
"177","iq",47,"2003-11-19",0.2636429,0.2816571,0.2466667,0.3012571,123.63,298.681428571,90.8828571429,18.3785714286,27.9,36,22.4,1
"178","iq",48,"2003-11-26",0.2749,0.2452,0.3094571,0.2953286,81.27,299.222857143,86.9957142857,18.27,28.3,34.7,22,2
"179","iq",49,"2003-12-03",0.4003429,0.3180571,0.3287714,0.3696429,72.23,298.315714286,89.2071428571,17.7457142857,28.7666666667,35.1,22,3
"180","iq",50,"2003-12-10",0.3586286,0.24435,0.3519,0.3588,108.62,298.685714286,93.2314285714,19.1071428571,28.4,34.2,22.5,6
"181","iq",51,"2003-12-17",0.1926667,0.2244,0.1361143,0.1363143,64.95,298.168571429,93.9171428571,18.5328571429,28.3,34.8,22.1,5
